"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",127072.703533333,127070,127052.844958145,13468.6,0.95,124822,129385,NA,NA,NA,NA,NA,NA,NA
"b1[1] Assis",-46358.4725066667,-46371.05,-46319.6200116119,13246,0.95,-49415.7,-43196.8,NA,NA,NA,NA,NA,NA,NA
"b1[2] Assoc",-33040.5830066667,-33030.45,-32910.7476016427,13069.5,0.95,-35916.1,-30335.1,NA,NA,NA,NA,NA,NA,NA
"b1[3] Full",-3111.3482628028,-3101.185,-3032.06918944821,13039.4,0.95,-5987.48,-197.738,NA,NA,NA,NA,NA,NA,NA
"b1[4] Endow",26931.88408,26947.8,27125.7383606981,13905.1,0.95,22209.5,31361.3,NA,NA,NA,NA,NA,NA,NA
"b1[5] Disting",55578.51994,55615.85,55909.2093530844,13047,0.95,48512.1,62633.3,NA,NA,NA,NA,NA,NA,NA
"b2[1] ACTG",82070.8849,82065.2,82396.0247838503,14502,0.95,72711.2,91803.4,NA,NA,NA,NA,NA,NA,NA
"b2[2] AFRO",-15313.0138776073,-15283.55,-15246.2307024487,14367.8,0.95,-31407.3,1284.47,NA,NA,NA,NA,NA,NA,NA
"b2[3] AMST",-16816.0093446947,-16811.6,-15817.0296760317,14369.8,0.95,-32581.6,-215.454,NA,NA,NA,NA,NA,NA,NA
"b2[4] ANTH",-19253.64470492,-19265.7,-18967.3382389176,13301,0.95,-29228.1,-8553.13,NA,NA,NA,NA,NA,NA,NA
"b2[5] APHS",2957.52133797453,2978.975,3305.16714583508,13437.9,0.95,-7956.86,13597.4,NA,NA,NA,NA,NA,NA,NA
"b2[6] AST",130.341534873333,170.816,615.447717150309,15000,0.95,-13621.8,14445.8,NA,NA,NA,NA,NA,NA,NA
"b2[7] BEPP",49102.4258733333,49083.3,48340.348222604,14384.7,0.95,35358.1,62383.7,NA,NA,NA,NA,NA,NA,NA
"b2[8] BFIN",109280.025586667,109298.5,109524.7085033,13173.8,0.95,100093,118524,NA,NA,NA,NA,NA,NA,NA
"b2[9] BI",-3399.8948492996,-3435.54,-3512.50988997152,13579,0.95,-9887.27,2791.12,NA,NA,NA,NA,NA,NA,NA
"b2[10] BLAN",18091.8540628993,18032.8,17994.7897543147,14556.6,0.95,4570.98,32153.3,NA,NA,NA,NA,NA,NA,NA
"b2[11] CEDP",-16360.7408111333,-16348.75,-15906.0929350721,13248.6,0.95,-26243.4,-6457.69,NA,NA,NA,NA,NA,NA,NA
"b2[12] CEUS",-21461.6226268133,-21500.35,-22145.2839590149,14586.5,0.95,-33547.7,-9309.14,NA,NA,NA,NA,NA,NA,NA
"b2[13] CHEM",19223.4144346667,19216.3,19128.8618014056,14641.6,0.95,12705.1,25570.2,NA,NA,NA,NA,NA,NA,NA
"b2[14] CMCL",-16099.23543726,-16098.05,-16347.6222311115,13466.4,0.95,-28099.4,-4877.7,NA,NA,NA,NA,NA,NA,NA
"b2[15] CMLT",-21711.7943218867,-21644.55,-20400.8714943743,14553.3,0.95,-36285.4,-7890.5,NA,NA,NA,NA,NA,NA,NA
"b2[16] CRIN",-22769.8847786667,-22795,-23123.6578307808,14011,0.95,-31507.2,-13941.9,NA,NA,NA,NA,NA,NA,NA
"b2[17] CSCI",12866.14026782,12916.1,13033.4313267571,11929.2,0.95,3237.95,22533.1,NA,NA,NA,NA,NA,NA,NA
"b2[18] EALC",-17875.8904640667,-17893.45,-18889.2383961583,14677.5,0.95,-29590.1,-6377.92,NA,NA,NA,NA,NA,NA,NA
"b2[19] ECON",56711.19156,56734.9,57510.2303753665,13161.1,0.95,46881.4,66680.3,NA,NA,NA,NA,NA,NA,NA
"b2[20] ELPS",-5923.53042900467,-5941.55,-7353.46942585425,14072.9,0.95,-16984.4,5878.47,NA,NA,NA,NA,NA,NA,NA
"b2[21] ENG",-19344.966754,-19353.5,-19820.7263775357,12004.5,0.95,-27285.4,-11676.7,NA,NA,NA,NA,NA,NA,NA
"b2[22] FINH",-21817.75238026,-21793.6,-21888.592554814,14765.6,0.95,-35094.9,-7315.75,NA,NA,NA,NA,NA,NA,NA
"b2[23] FINS",-18933.075342038,-19052.45,-19828.9014822848,12155,0.95,-33337,-4563.63,NA,NA,NA,NA,NA,NA,NA
"b2[24] FOLK",-22160.3445190667,-22170.3,-20919.9672186252,14411.2,0.95,-33565.7,-9980.72,NA,NA,NA,NA,NA,NA,NA
"b2[25] FRIT",-13587.1387571807,-13565.55,-12940.8170938682,15535,0.95,-24820,-1771.61,NA,NA,NA,NA,NA,NA,NA
"b2[26] GEOG",-8568.93677156007,-8536.595,-7882.55239297656,15000,0.95,-22242.2,6330.03,NA,NA,NA,NA,NA,NA,NA
"b2[27] GEOL",-14066.8356900427,-14044.7,-14242.318264977,10910.6,0.95,-24303.6,-3872.28,NA,NA,NA,NA,NA,NA,NA
"b2[28] GERM",-30745.0175464667,-30748.15,-30076.8145671961,13239.9,0.95,-46596.2,-15922.6,NA,NA,NA,NA,NA,NA,NA
